                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.90409,                 2.0261,                0.81689,                 1.0293,                0.86373,                0.82727,                0.87847,                0.70919,                0.82471,                0.78159,                0.82299,                0.57236,                0.79008,                 1.7936,                0.60319,                 0.9512,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                0.82436,                 1.9915,                 0.7638,                 0.9992,                0.86341,                0.82306,                0.87977,                0.71009,                0.82444,                0.78303,                0.82475,                0.57573,                0.79201,                 1.7897,                0.60282,                0.95122,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                0.87432,                   2.06,                0.77114,                 1.0097,                0.86286,                0.81698,                0.87987,                0.71199,                0.82738,                0.76714,                0.82093,                0.57387,                0.79097,                 1.7884,                0.60188,                0.95008,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                0.83487,                 1.9344,                0.74139,                0.99938,                   0.86,                0.81237,                0.87746,                0.71378,                0.81955,                0.77281,                0.82143,                0.57152,                0.78893,                 1.7883,                0.60268,                0.94944,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.88985,                 2.0141,                0.79379,                 1.0142,                0.85671,                0.81474,                 0.8772,                0.71459,                0.81768,                0.77509,                0.82062,                0.57069,                0.78438,                 1.7838,                 0.6004,                 0.9481,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                0.91217,                 2.0754,                0.79849,                 1.0213,                0.85135,                0.80837,                0.87651,                0.71779,                0.85873,                0.75364,                0.82187,                0.57995,                 0.7813,                 1.7811,                0.59962,                0.94745,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                 0.8351,                  1.913,                0.75296,                0.99895,                0.88152,                0.79423,                0.87752,                0.72082,                0.86859,                0.75356,                0.82669,                0.57923,                0.77743,                 1.7748,                0.59539,                0.94663,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                0.87655,                 1.9934,                0.77653,                 1.0127,                0.86249,                 0.8041,                0.87974,                0.72031,                0.86277,                 0.7537,                0.82805,                0.57729,                 0.7745,                 1.7716,                0.59136,                0.94608,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                0.86544,                 1.9724,                0.78084,                 1.0236,                0.85373,                0.81342,                0.87936,                0.72073,                0.86105,                0.76062,                 0.8298,                 0.5779,                0.77085,                 1.7686,                0.58626,                0.94551,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                0.86745,                  1.956,                 0.7698,                 1.0133,                0.86904,                0.81651,                0.88266,                0.72093,                0.85257,                0.76492,                0.83024,                 0.5748,                0.76772,                 1.7676,                0.58545,                0.94416,             5.3026e-05,             5.3026e-05,             5.3026e-05
